rule_id,from_ziffer,to_ziffer,direction,legal_basis,quote,verified,verified_at,source,parser_verdict,parser_reason,parser_provision
excl_auto_804_1,804,1,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_804_3,804,3,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_804_22,804,22,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_804_30,804,30,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_804_34,804,34,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_806_1,806,1,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_806_3,806,3,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_806_22,806,22,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_806_30,806,30,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_806_34,806,34,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
